publisher,release_date,price,early_access
SEGA,2004-09-22 00:00:00,9.99,False
SEGA,2006-06-26 00:00:00,4.99,False
Big Fish Games,2007-12-14 00:00:00,6.99,False
Rockstar Games,1998-06-30 00:00:00,,False
Rockstar Games,1999-10-25 00:00:00,,False
Rockstar Games,2004-04-20 00:00:00,9.99,False
Rockstar Games,2003-07-01 00:00:00,9.99,False
Rockstar Games,2003-10-14 00:00:00,9.99,False
Square Enix,2006-04-07 00:00:00,6.99,False
Rockstar Games,2001-07-25 00:00:00,9.99,False
Electronic Arts,2008-10-28 00:00:00,19.99,False
"D3Publisher of America, Inc.",2007-10-10 00:00:00,9.99,False
Strategy First,2007-10-23 00:00:00,9.99,False
"ValuSoft, Retroism",2007-08-01 00:00:00,9.99,False
"ValuSoft, Retroism",2007-09-01 00:00:00,9.99,False
"ValuSoft, Retroism",2007-12-03 00:00:00,9.99,False
Square Enix,2008-02-08 00:00:00,5.99,False
Bohemia Interactive,2007-05-08 00:00:00,7.99,False
Retroism,2006-02-21 00:00:00,9.99,False
THQ Nordic,2006-05-02 00:00:00,9.99,False
1C Company,2007-10-16 00:00:00,4.99,False
Atari,2006-05-30 00:00:00,2.99,False
"Atari, Aspyr (Mac)",2006-10-26 00:00:00,19.99,False
Atari,2005-03-14 00:00:00,2.99,False
"Epic Games, Inc.",2003-02-03 00:00:00,14.99,False
"Epic Games, Inc.",1998-04-30 00:00:00,9.99,False
Nunchuck Games,2008-03-21 00:00:00,4.99,False
Ubisoft,2003-02-18 00:00:00,9.99,False
Ubisoft,2004-03-23 00:00:00,9.99,False
"Epic Games, Inc.",2000-10-25 00:00:00,9.99,False
Ubisoft,2006-12-12 00:00:00,9.99,False
Ubisoft,2005-03-15 00:00:00,9.99,False
Last Day of Work,2008-05-28 00:00:00,9.99,False
"PopCap Games, Inc.",2008-06-04 00:00:00,4.99,False
MumboJumbo,2008-06-10 00:00:00,9.99,False
MumboJumbo,2008-06-10 00:00:00,9.99,False
MumboJumbo,2008-06-10 00:00:00,9.99,False
MumboJumbo,2008-06-10 00:00:00,9.99,False
MumboJumbo,2005-12-08 00:00:00,9.99,False
MumboJumbo,2007-11-13 00:00:00,9.99,False
Ubisoft,2007-11-13 00:00:00,9.99,False
MumboJumbo,2005-12-08 00:00:00,9.99,False
Ubisoft,2007-03-27 00:00:00,9.99,False
Ubisoft,2007-03-20 00:00:00,9.99,False
1C Online Games,2006-12-15 00:00:00,9.99,False
Ubisoft,2008-03-24 00:00:00,9.99,False
Telltale Games,2005-09-15 00:00:00,9.99,False
"ValuSoft, Retroism",2005-07-02 00:00:00,9.99,False
Telltale Games,2006-04-12 00:00:00,9.99,False
"ValuSoft, Retroism",2008-07-29 00:00:00,9.99,False
ValuSoft,2008-01-08 00:00:00,9.99,False
"ValuSoft, Retroism",2007-07-02 00:00:00,9.99,False
ValuSoft,2008-01-12 00:00:00,9.99,False
"ValuSoft, Retroism",2007-08-08 00:00:00,9.99,False
Frogwares,2008-05-20 00:00:00,9.99,False
SEGA,2008-07-08 00:00:00,,False
Frogwares,2008-04-14 00:00:00,9.99,False
Silver Sphere Studios,2008-07-31 00:00:00,4.99,False
Buka Entertainment,2007-05-25 00:00:00,7.99,False
Meridian4,2008-08-21 00:00:00,4.99,False
Strategy First,2008-08-19 00:00:00,19.99,False
Oddworld Inhabitants,1998-11-17 00:00:00,2.99,False
Oddworld Inhabitants,1997-12-12 00:00:00,2.99,False
SimBin,2008-09-01 00:00:00,7.99,False
2K Games,2001-04-19 00:00:00,4.99,False
2K Games,1997-07-15 00:00:00,4.99,False
2K Games,1993-12-31 00:00:00,4.99,False
GSC World Publishing,2008-09-15 00:00:00,9.99,False
Electronic Arts,2008-09-17 00:00:00,19.99,False
Electronic Arts,2007-11-13 00:00:00,19.99,False
2K Games,1998-06-15 00:00:00,4.99,False
"CD PROJEKT RED, 1C-SoftClub",2008-09-16 00:00:00,9.99,False
Introversion Software,2008-09-19 00:00:00,9.99,False
SimBin,2008-10-22 00:00:00,2.99,False
"Tilted Mill Entertainment, Inc.",2008-08-28 00:00:00,2.49,False
2K Games,2008-09-23 00:00:00,19.99,False
Ubisoft,2003-03-18 00:00:00,9.99,False
Warner Bros. Interactive Entertainment,2008-09-29 00:00:00,19.99,False
Focus Home Interactive,2008-07-18 00:00:00,9.99,False
"Tilted Mill Entertainment, Inc.",2008-09-30 00:00:00,9.99,False
Ubisoft,2008-10-08 00:00:00,9.99,False
Dark Castle Software,2008-08-31 00:00:00,4.99,False
Techland,2006-12-01 00:00:00,4.99,False
Ubisoft,2006-11-14 00:00:00,9.99,False
Ubisoft,2005-10-04 00:00:00,9.99,False
Ubisoft,2007-10-16 00:00:00,9.99,False
Ubisoft,2008-04-18 00:00:00,19.99,False
Ubisoft,2007-09-25 00:00:00,9.99,False
Ubisoft,2002-05-31 00:00:00,9.99,False
"PopCap Games, Inc.",2008-10-15 00:00:00,4.99,False
2D BOY,2008-10-13 00:00:00,9.99,False
Egosoft,2008-10-16 00:00:00,15.99,False
Tripwire Interactive,2008-10-17 00:00:00,Free,False
Shorebound Studios,2008-10-20 00:00:00,4.99,False
Perpetual FX Creative,2008-10-21 00:00:00,19.99,False
Rockstar Games,2008-10-21 00:00:00,14.99,False
Ubisoft,2008-10-22 00:00:00,9.99,False
Meridian4,2008-10-23 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Dovetail Games,2009-01-01 00:00:00,4.99,False
Deep Silver,2009-01-28 00:00:00,9.99,False
Electronic Arts,2008-10-20 00:00:00,19.99,False
Codemasters,2008-12-16 00:00:00,9.99,False
Electronic Arts,2009-01-13 00:00:00,19.99,False
Hidden Path Entertainment,2008-12-08 00:00:00,9.99,False
Warner Bros. Interactive Entertainment,2009-02-12 00:00:00,14.99,False
Oxeye Game Studio,2008-03-05 00:00:00,7.99,False
Inventive Dingo,2007-07-04 00:00:00,9.99,False
Meridian4,2009-03-19 00:00:00,4.99,False
Paradox Interactive,2005-05-10 00:00:00,9.99,False
Assemble Entertainment,2009-02-27 00:00:00,5.99,False
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009-03-04 00:00:00,2.99,False
Warner Bros. Interactive Entertainment,2009-03-04 00:00:00,4.99,False
Frictional Games,2007-03-30 00:00:00,9.99,False
"Epic Games, Inc.",2007-11-19 00:00:00,19.99,False
DTP Entertainment,2009-02-27 00:00:00,9.99,False
Capcom,2009-03-09 00:00:00,,False
Tale of Tales,2008-03-21 00:00:00,4.99,False
Electronic Arts,2009-02-03 00:00:00,19.99,False
Twisted Pixel Games,2009-03-09 00:00:00,9.99,False
Twisted Pixel Games,2009-03-16 00:00:00,1.25,False
Twisted Pixel Games,2009-03-16 00:00:00,1.25,False
Meridian4,2009-03-19 00:00:00,4.99,False
Llamasoft LTD,2009-03-19 00:00:00,9.99,False
THQ Nordic,2009-03-10 00:00:00,14.99,False
"PopCap Games, Inc.",2009-04-15 00:00:00,4.99,False
NCsoft,2006-10-27 00:00:00,19.99,False
NCsoft,2005-04-28 00:00:00,19.99,False
NCsoft,2006-04-28 00:00:00,19.99,False
NCsoft,2008-09-25 00:00:00,29.99,False
Strategy First,2009-04-16 00:00:00,14.99,False
MumboJumbo,2009-04-29 00:00:00,9.99,False
Topware Interactive,2009-04-30 00:00:00,9.99,False
"Black Forest Games, THQ Nordic",2009-04-30 00:00:00,9.99,False
Topware Interactive,2009-02-10 00:00:00,9.99,False
ACE Team,2009-04-21 00:00:00,9.99,False
Twisted Pixel Games,2009-04-29 00:00:00,1.25,False
1C Company,2008-09-23 00:00:00,6.99,False
Last Day of Work,2009-05-06 00:00:00,9.99,False
1C Company,2009-05-06 00:00:00,2.99,False
2K Games,2005-03-08 00:00:00,4.99,False
2K Games,2002-03-26 00:00:00,4.99,False
SaintXi,2009-06-04 00:00:00,14.99,False
Darklight Games,2009-06-09 00:00:00,Free,False
Activision,2009-06-10 00:00:00,19.99,False
Erik Svedäng,,4.99,False
Strategy First,2004-04-30 00:00:00,4.99,False
Bethesda Softworks,2006-04-26 00:00:00,4.99,False
Bethesda Softworks,2007-09-11 00:00:00,14.99,False
Bethesda Softworks,2002-04-29 00:00:00,14.99,False
Bethesda Softworks,2009-06-16 00:00:00,19.99,False
Strategy First,2007-05-18 00:00:00,4.99,False
"NovaLogic, THQ Nordic",1999-09-01 00:00:00,9.99,False
"NovaLogic, THQ Nordic",1998-09-07 00:00:00,9.99,False
Strategy First,2008-09-15 00:00:00,4.99,False
Ubisoft,2009-06-30 00:00:00,9.99,False
HeR Interactive,2007-10-01 00:00:00,6.99,False
HeR Interactive,2006-10-01 00:00:00,6.99,False
HeR Interactive,2008-07-01 00:00:00,6.99,False
HeR Interactive,2007-07-01 00:00:00,6.99,False
Digital Eel,2008-12-24 00:00:00,Free to Play,False
"ValuSoft, Retroism",2009-07-07 00:00:00,9.99,False
Telltale Games,2009-07-07 00:00:00,19.99,False
Capcom,2009-07-07 00:00:00,19.99,False
LucasArts,2007-10-09 00:00:00,9.99,False
"LucasArts, Lucasfilm, Disney Interactive",1992-06-01 00:00:00,5.99,False
"LucasArts, Lucasfilm, Disney Interactive",2003-12-02 00:00:00,5.99,False
"Lucasfilm, LucasArts, Disney Interactive",2005-11-01 00:00:00,9.99,False
"LucasArts, Lucasfilm, Disney Interactive",1989-07-01 00:00:00,5.99,False
"LucasArts, Lucasfilm, Disney Interactive",2008-06-03 00:00:00,19.99,False
"LucasArts, Lucasfilm, Disney Interactive",2009-07-15 00:00:00,9.99,False
Game Factory Interactive,2008-11-20 00:00:00,12.99,False
Game Factory Interactive,2009-06-02 00:00:00,9.99,False
HeR Interactive,2009-07-21 00:00:00,6.99,False
Her Interactive,2009-07-21 00:00:00,,False
Activision,2006-12-20 00:00:00,9.99,False
Activision,2006-09-01 00:00:00,19.99,False
Activision,2007-10-30 00:00:00,19.99,False
Activision,2006-09-01 00:00:00,19.99,False
Tripwire Interactive,2009-07-24 00:00:00,7.99,False
Activision,2008-06-04 00:00:00,9.99,False
Kalypso Media Digital,2009-07-24 00:00:00,6.99,False
"PopCap Games, Inc.",2009-07-27 00:00:00,4.99,False
Capcom,2008-08-14 00:00:00,9.99,False
Capcom,2009-07-28 00:00:00,9.99,False
Warner Bros. Interactive Entertainment,2009-07-29 00:00:00,4.99,False
Sakari Indie,2009-08-04 00:00:00,4.99,False
"LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm",2003-11-19 00:00:00,9.99,False
Hemisphere Games,2009-08-18 00:00:00,9.99,False
Bethesda Softworks,1998-12-01 00:00:00,9.99,False
Bethesda Softworks,2001-03-01 00:00:00,9.99,False
Interplay Inc.,1999-06-01 00:00:00,9.99,False
Interplay Inc.,2000-11-01 00:00:00,9.99,False
"SQUARE ENIX, Eidos Interactive",2009-08-19 00:00:00,,False
Telltale Games,2009-08-20 00:00:00,19.99,False
iWin,2009-08-24 00:00:00,19.99,False
iWin,2009-08-24 00:00:00,9.99,False
Size Five Games,2009-06-22 00:00:00,4.99,False
Ubisoft,2005-03-29 00:00:00,9.99,False
Meridian4,2009-08-27 00:00:00,9.99,False
1C Company,2009-08-28 00:00:00,4.99,False
THQ Nordic,2009-10-30 00:00:00,14.99,False
"ValuSoft, Retroism",2009-09-23 00:00:00,9.99,False
Square Enix,2009-09-08 00:00:00,9.99,False
Freeze Tag Inc.,2009-09-23 00:00:00,19.99,False
Freeze Tag Inc.,1999-11-30 00:00:00,19.99,False
"Vectorpark, Inc.",2009-05-26 00:00:00,2.99,False
Dovetail Games - Trains,2009-09-25 00:00:00,24.99,False
MumboJumbo,2009-09-28 00:00:00,9.99,False
Telltale Games,2009-09-07 00:00:00,19.99,False
"NovaLogic, THQ Nordic",2009-08-18 00:00:00,19.99,False
Dovetail Games - Trains,2009-10-01 00:00:00,17.99,False
PlayFirst,2009-09-30 00:00:00,9.99,False
Dovetail Games - Trains,2009-10-01 00:00:00,19.99,False
Deep Silver,2009-10-30 00:00:00,9.99,False
Square Enix,2009-10-01 00:00:00,3.99,False
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2009-10-05 00:00:00,9.99,False
Amanita Design,2009-10-16 00:00:00,9.99,False
Electronic Arts,2007-09-04 00:00:00,9.99,False
Electronic Arts,2009-09-15 00:00:00,19.99,False
Runic Games,2009-10-27 00:00:00,14.99,False
Electronic Arts,2009-03-12 00:00:00,19.99,False
FireFly Studios,2009-10-27 00:00:00,19.99,False
Nitro Games,2009-10-27 00:00:00,4.99,False
THQ Nordic,2009-10-27 00:00:00,9.99,False
THQ Nordic,2009-10-29 00:00:00,14.99,False
Deep Silver,2009-10-29 00:00:00,9.99,False
Deep Silver,2009-10-29 00:00:00,4.99,False
Telltale Games,2009-10-07 00:00:00,19.99,False
"1C Company, 1C-SoftClub",2009-11-01 00:00:00,4.99,False
KranX Productions,2009-09-19 00:00:00,4.99,False
THQ Nordic,2009-11-03 00:00:00,9.99,False
Wargaming.net,2005-03-03 00:00:00,9.99,False
Matrix Games/GMX Media,2003-10-28 00:00:00,9.99,False
HeR Interactive,2009-11-19 00:00:00,6.99,False
Devolver Digital,2009-11-24 00:00:00,14.99,False
Deep Silver,2009-10-29 00:00:00,9.99,False
Electronic Arts,2009-11-06 00:00:00,19.99,False
Citeremis Inc.,2009-05-07 00:00:00,4.99,False
Yullaby,2009-11-05 00:00:00,1.99,False
Paradox Interactive,2009-11-11 00:00:00,9.99,False
"Activision, Aspyr (Mac)",2009-11-12 00:00:00,19.99,False
"LucasArts, Lucasfilm, Disney Interactive, Feral Interactive (Mac)",2009-11-12 00:00:00,19.99,False
Codemasters,2007-06-26 00:00:00,4.99,False
Codemasters,2008-02-15 00:00:00,9.99,False
Electronic Arts,2007-03-28 00:00:00,14.99,False
KranX Productions,2008-07-23 00:00:00,4.99,False
Electronic Arts,2009-11-13 00:00:00,19.99,False
Positech Games,2009-11-16 00:00:00,14.99,False
Gaijin Entertainment,2009-12-25 00:00:00,9.99,False
inXile Entertainment,2005-06-17 00:00:00,9.99,False
Tripwire Interactive,2009-10-22 00:00:00,Free,False
"LucasArts, Aspyr (Mac), Lucasfilm, Disney Interactive",2009-11-03 00:00:00,19.99,False
Paradox Interactive,2009-12-15 00:00:00,9.99,False
Bethesda Softworks,2009-10-13 00:00:00,19.99,False
Positech Games,2009-12-16 00:00:00,5.99,False
iWin,2007-10-02 00:00:00,9.99,False
iWin,2008-04-29 00:00:00,9.99,False
iWin,2009-01-24 00:00:00,9.99,False
iWin,2009-12-17 00:00:00,9.99,False
SouthPeak Games,2009-12-17 00:00:00,1.99,False
Capcom,2008-07-08 00:00:00,19.99,False
Meridian4,2010-03-17 00:00:00,9.99,False
iWin,2009-08-12 00:00:00,9.99,False
Octoshark Studios,2010-02-12 00:00:00,Free,False
iWin,2008-08-27 00:00:00,4.99,False
iWin,2010-01-06 00:00:00,9.99,False
iWin,2009-09-11 00:00:00,9.99,False
iWin,2007-12-07 00:00:00,4.99,False
iWin,2009-02-18 00:00:00,4.99,False
Sandlot Games,2010-02-16 00:00:00,6.99,False
Sandlot Games,2010-02-16 00:00:00,6.99,False
Sandlot Games,2010-02-16 00:00:00,6.99,False
ND Games,2010-02-17 00:00:00,9.99,False
"LucasArts, Lucasfilm, Disney Interactive",2010-02-18 00:00:00,19.99,False
SEGA,2010-02-18 00:00:00,,False
New Star Games Ltd,2010-02-18 00:00:00,4.99,False
Paradox Interactive,2010-02-18 00:00:00,0.99,False
1C Company,2010-02-19 00:00:00,6.99,False
iWin,2007-12-01 00:00:00,9.99,False
SEGA,2010-03-18 00:00:00,7.49,False
Devolver Digital,2001-03-21 00:00:00,9.99,False
Dovetail Games - Trains,2010-03-19 00:00:00,19.99,False
TaleWorlds Entertainment,2010-03-31 00:00:00,19.99,False
ZoopTEK,2010-03-26 00:00:00,4.99,False
Beatnik Games,2010-04-05 00:00:00,4.99,False
Fatshark,2010-04-08 00:00:00,9.99,False
Rockstar Games,2010-04-12 00:00:00,19.99,False
Capcom,2010-04-12 00:00:00,4.99,False
Nemesys Games,2010-04-14 00:00:00,0.99,False
Cold Beam Games,2010-04-15 00:00:00,9.99,False
Telltale Games,2010-04-15 00:00:00,19.99,False
Kalypso Media Digital,2010-04-19 00:00:00,9.99,False
Gaijin Entertainment,2010-04-19 00:00:00,4.99,False
2K Play,2010-04-20 00:00:00,4.99,False
THQ Nordic,2003-08-19 00:00:00,4.99,False
THQ Nordic,2001-11-30 00:00:00,4.99,False
Red Chain Games Ltd.,2010-04-20 00:00:00,1.99,False
Big Fish Games,2006-07-19 00:00:00,9.99,False
Big Fish Games,2008-06-19 00:00:00,9.99,False
"SEGA, Feral Interactive (Mac)",2010-05-05 00:00:00,2.99,False
PlayFirst,2008-12-31 00:00:00,6.99,False
PlayFirst,2009-09-24 00:00:00,6.99,False
PlayFirst,2009-07-27 00:00:00,6.99,False
PlayFirst,2007-10-19 00:00:00,6.99,False
PlayFirst,2009-12-24 00:00:00,6.99,False
PlayFirst,2010-03-19 00:00:00,6.99,False
PlayFirst,2008-02-11 00:00:00,6.99,False
PlayFirst,2007-12-31 00:00:00,6.99,False
PlayFirst,2009-12-21 00:00:00,6.99,False
"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",2010-05-07 00:00:00,9.99,False
ISOTX,2008-12-05 00:00:00,,False
"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",2010-05-11 00:00:00,14.99,False
The Games Company,2010-05-12 00:00:00,,False
Muse Games,2010-05-12 00:00:00,4.99,False
Merge Games,2010-05-28 00:00:00,4.99,False
Ubisoft,2010-06-08 00:00:00,19.99,False
Kalypso Media Digital,2010-05-28 00:00:00,4.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,61.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,4.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,2.99,False
SEGA,2010-06-01 00:00:00,14.99,False
Team17 Digital Ltd,2010-06-03 00:00:00,9.99,False
Bethesda Softworks,2010-07-16 00:00:00,4.99,False
Hidden Path Entertainment,2010-06-02 00:00:00,0.99,False
Bethesda Softworks,2010-07-16 00:00:00,4.99,False
Bethesda Softworks,2010-07-16 00:00:00,4.99,False
Bethesda Softworks,2010-07-16 00:00:00,4.99,False
Valve,2010-07-19 00:00:00,Free,False
Bethesda Softworks,2010-07-16 00:00:00,4.99,False
"Electronic Arts, Aspyr (Mac)",2003-09-22 00:00:00,19.99,False
Kalypso Media Digital,2010-07-16 00:00:00,14.99,False
"Arcen Games, LLC",2010-07-16 00:00:00,4.99,False
Strategy First,2010-07-19 00:00:00,9.99,False
Ubisoft,2010-07-21 00:00:00,3.99,False
Strategy First,2008-12-08 00:00:00,9.99,False
Square Enix,2010-08-17 00:00:00,9.99,False
THQ Nordic,2010-07-28 00:00:00,9.99,False
Paradox Interactive,2010-07-26 00:00:00,0.99,False
N3V Games,2010-08-06 00:00:00,19.99,False
1C Company,2010-08-06 00:00:00,4.99,False
"2K Games, Feral Interactive (Mac)",2011-03-22 00:00:00,29.99,False
Dovetail Games - Trains,2010-08-06 00:00:00,4.99,False
"Namco Networks America, Inc.",2010-08-12 00:00:00,9.99,False
P2 Games,2010-08-12 00:00:00,9.99,False
Playbrains,2010-08-16 00:00:00,1.99,False
Playbrains,2010-08-16 00:00:00,1.99,False
Playbrains,2010-08-16 00:00:00,1.99,False
Playbrains,2010-08-16 00:00:00,2.99,False
Paradox Interactive,2010-08-20 00:00:00,9.99,False
Paradox Interactive,2010-08-27 00:00:00,19.99,False
Team17 Digital Ltd,2010-08-26 00:00:00,19.99,False
Factus Games,2010-06-22 00:00:00,14.99,False
Bohemia Interactive,2010-08-27 00:00:00,8.99,False
Paradox Interactive,2010-08-30 00:00:00,19.99,False
DnS Development,2010-08-31 00:00:00,,False
Playbrains,2010-08-16 00:00:00,1.99,False
"SQUARE ENIX, Eidos Interactive",2010-08-31 00:00:00,5.99,False
"SQUARE ENIX, Eidos Interactive",2010-08-31 00:00:00,1.99,False
N3V Games,2010-09-01 00:00:00,19.99,False
"SQUARE ENIX, Eidos Interactive",2010-08-31 00:00:00,2.99,False
GSC World Publishing,2002-11-01 00:00:00,4.99,False
Revolution Software Ltd,2010-09-02 00:00:00,5.99,False
OneBigGame,2010-09-06 00:00:00,4.99,False
"2K Games, Feral Interactive (Mac)",2010-09-06 00:00:00,9.99,False
CI Games,2010-09-08 00:00:00,1.99,False
Terry Cavanagh,2010-09-07 00:00:00,4.99,False
Ubisoft,2010-09-08 00:00:00,3.99,False
Frictional Games,2010-09-08 00:00:00,19.99,False
Carpe Fulgur LLC,2010-09-10 00:00:00,19.99,False
Dedication Games,2010-08-19 00:00:00,3.99,False
SEGA,2010-09-13 00:00:00,2.99,False
SEGA,2010-09-13 00:00:00,2.99,False
exosyphen studios,2010-09-14 00:00:00,4.99,False
exosyphen studios,2010-09-14 00:00:00,4.99,False
Subsoap,2010-09-17 00:00:00,9.99,False
Kalypso Media Digital,2010-09-17 00:00:00,14.99,False
SEGA,2010-09-13 00:00:00,2.99,False
1C Company,2010-09-17 00:00:00,14.99,False
Dovetail Games - Trains,2010-09-17 00:00:00,4.99,False
"2K Games, Aspyr (Mac, Linux)",2010-09-21 00:00:00,29.99,False
Nitro Games,2010-09-21 00:00:00,4.99,False
Devolver Digital,2002-02-05 00:00:00,9.99,False
Blind Mind Studios,2010-09-20 00:00:00,9.99,False
Krome Studios,2010-09-22 00:00:00,2.99,False
Team17 Digital Ltd,2010-09-22 00:00:00,9.99,False
Devolver Digital,2010-09-23 00:00:00,,False
THQ Nordic,2010-09-23 00:00:00,19.99,False
Egosoft,1999-07-01 00:00:00,4.99,False
Paradox Interactive,2010-10-08 00:00:00,9.99,False
NCsoft,2007-08-31 00:00:00,19.99,False
Egosoft,2000-06-01 00:00:00,4.99,False
Paradox Interactive,,9.99,False
Youdagames,2010-10-11 00:00:00,7.99,False
Youdagames,2010-10-11 00:00:00,14.99,False
Paradox Interactive,,9.99,False
Paradox Interactive,,5.99,False
Electronic Arts,2010-10-12 00:00:00,19.99,False
Headup Games,2010-10-15 00:00:00,9.99,False
Capcom,2010-10-15 00:00:00,19.99,False
Stickmen Studios,2010-10-15 00:00:00,4.99,False
Bethesda Softworks,2010-10-19 00:00:00,9.99,False
Dmytry Lavrov,2010-10-15 00:00:00,6.99,False
Wadjet Eye Games,2010-10-22 00:00:00,4.99,False
Noumenon Games,2010-10-25 00:00:00,9.99,False
"2K Games, Aspyr (Mac, Linux)",2010-10-25 00:00:00,4.99,False
Electronic Arts,2010-10-25 00:00:00,14.99,False
SEGA,2010-10-26 00:00:00,2.99,False
SEGA,2010-10-26 00:00:00,2.99,False
SEGA,2010-10-26 00:00:00,2.99,False
