funny,last_edited,item_id,helpful,recommend,review,posted
,,550,1 of 1 people (100%) found this review helpful,True,2,2016-02-26
,,377160,1 of 3 people (33%) found this review helpful,True,2,2015-11-19
,"Last edited March 2, 2014.",219150,No ratings yet,True,2,2013-06-25
,"Last edited June 24, 2014.",277430,No ratings yet,True,2,2014-04-11
,,239820,No ratings yet,True,2,2014-02-22
,"Last edited November 26, 2013.",17410,No ratings yet,True,2,2012-09-24
,,440,1 of 1 people (100%) found this review helpful,True,2,2015-09-26
,,270550,1 of 2 people (50%) found this review helpful,True,2,2015-06-12
,,274940,0 of 1 people (0%) found this review helpful,True,2,2015-08-03
1 person found this review funny,,333930,0 of 2 people (0%) found this review helpful,True,1,2015-06-26
,,440,1 of 1 people (100%) found this review helpful,True,1,2014-01-15
,,730,2 of 3 people (67%) found this review helpful,True,1,2014-10-14
2 people found this review funny,,294100,2 of 2 people (100%) found this review helpful,True,1,2016-08-31
,,212070,3 of 5 people (60%) found this review helpful,True,2,2014-07-09
,,264140,No ratings yet,True,2,2014-03-13
2 people found this review funny,,332800,194 of 282 people (69%) found this review helpful,True,1,2014-11-11
,,319630,1 of 2 people (50%) found this review helpful,True,2,2015-07-21
,,6020,No ratings yet,True,1,2015-07-05
,,55230,No ratings yet,True,2,2015-03-12
,,32430,No ratings yet,True,2,2014-02-23
,,377160,3 of 4 people (75%) found this review helpful,False,0,2016-03-27
,,440,No ratings yet,True,1,2016-01-15
,,35450,1 of 1 people (100%) found this review helpful,True,2,2015-03-22
,,440,1 of 1 people (100%) found this review helpful,True,2,2014-08-21
,,236390,2 of 5 people (40%) found this review helpful,True,2,2015-03-13
,,351570,No ratings yet,True,2,2015-03-20
,,212680,No ratings yet,True,1,2015-03-07
,,391540,2 of 3 people (67%) found this review helpful,True,1,2015-10-10
,,550,0 of 1 people (0%) found this review helpful,True,2,2014-07-06
,,440,1 of 1 people (100%) found this review helpful,True,1,2014-06-19
,,570,1 of 1 people (100%) found this review helpful,True,1,2014-02-19
,,72850,1 of 1 people (100%) found this review helpful,True,2,2015-04-11
,,440,No ratings yet,True,1,2015-12-24
,,113400,No ratings yet,True,1,2014-05-17
,,440,3 of 3 people (100%) found this review helpful,True,1,2014-08-09
,,200510,No ratings yet,True,2,2015-09-26
,,730,2 of 2 people (100%) found this review helpful,True,2,2015-05-22
524 people found this review funny,,383080,424 of 470 people (90%) found this review helpful,True,1,2015-08-22
,,200210,No ratings yet,True,2,2016-05-26
,,1250,No ratings yet,True,1,2014-04-05
,,304050,0 of 2 people (0%) found this review helpful,True,1,2016-01-18
4 people found this review funny,,265610,28 of 41 people (68%) found this review helpful,True,1,2015-12-30
1 person found this review funny,,264200,4 of 4 people (100%) found this review helpful,True,1,2014-08-01
3 people found this review funny,,417860,2 of 2 people (100%) found this review helpful,True,1,2015-12-26
1 person found this review funny,,333600,2 of 2 people (100%) found this review helpful,True,2,2015-04-14
1 person found this review funny,,213670,2 of 2 people (100%) found this review helpful,True,2,2014-12-30
1 person found this review funny,,91310,1 of 1 people (100%) found this review helpful,True,2,2013-12-04
1 person found this review funny,,437220,7 of 13 people (54%) found this review helpful,False,0,2016-08-19
1 person found this review funny,,210770,No ratings yet,True,1,2013-12-04
12 people found this review funny,,351640,97 of 102 people (95%) found this review helpful,True,2,2015-11-10
,,202530,1 of 1 people (100%) found this review helpful,False,0,2016-09-14
1 person found this review funny,,105600,2 of 3 people (67%) found this review helpful,True,2,2012-08-27
,,440,3 of 6 people (50%) found this review helpful,True,2,2014-02-05
,,47870,1 of 3 people (33%) found this review helpful,True,2,2013-01-27
,,383080,0 of 2 people (0%) found this review helpful,True,2,2015-08-25
,,410,0 of 3 people (0%) found this review helpful,True,2,2012-08-27
,,730,No ratings yet,True,2,2014-12-16
,Last edited June 26.,253710,1 of 2 people (50%) found this review helpful,False,0,2014-06-29
3 people found this review funny,,339280,2 of 5 people (40%) found this review helpful,True,2,2015-04-11
,,271290,No ratings yet,True,2,2014-03-08
,"Last edited April 12, 2015.",203290,No ratings yet,True,2,2013-11-16
1 person found this review funny,,440,No ratings yet,True,1,2015-11-11
,,233150,No ratings yet,True,1,2014-12-26
,,550,0 of 1 people (0%) found this review helpful,True,1,2013-01-17
1 person found this review funny,,730,1 of 1 people (100%) found this review helpful,True,2,2015-07-17
,,211820,No ratings yet,True,2,2013-12-29
,,440,No ratings yet,True,2,2015-05-06
1 person found this review funny,,346330,2 of 7 people (29%) found this review helpful,False,0,2016-07-20
,,224260,No ratings yet,True,2,2015-01-26
,,317360,No ratings yet,True,2,2014-11-16
,,295550,No ratings yet,True,2,2014-08-17
,,250180,No ratings yet,True,1,2014-07-21
,,227940,No ratings yet,True,1,2014-07-19
,,17520,No ratings yet,True,2,2014-02-08
,,113420,No ratings yet,True,2,2014-01-07
2 people found this review funny,,320760,4 of 6 people (67%) found this review helpful,True,1,2015-07-06
,,8850,1 of 1 people (100%) found this review helpful,True,2,2015-09-06
,,233720,1 of 1 people (100%) found this review helpful,True,1,2014-04-24
1 person found this review funny,Last edited March 8.,218620,2 of 5 people (40%) found this review helpful,True,1,2015-07-06
,"Last edited July 24, 2015.",730,0 of 1 people (0%) found this review helpful,True,2,2015-01-27
,,219740,No ratings yet,True,2,2015-01-25
,,220240,No ratings yet,True,2,2014-05-24
,"Last edited April 24, 2014.",440,No ratings yet,True,2,2012-10-20
,,4000,1 of 1 people (100%) found this review helpful,True,2,2014-03-28
,,304930,No ratings yet,True,2,2014-07-09
,,333950,1 of 2 people (50%) found this review helpful,True,1,2015-02-23
,,388520,No ratings yet,True,2,2015-08-29
,,107410,No ratings yet,True,1,2014-11-23
,,206210,No ratings yet,True,1,2014-09-09
,,221100,3 of 6 people (50%) found this review helpful,True,2,2015-03-26
2 people found this review funny,,299740,0 of 18 people (0%) found this review helpful,False,0,2016-07-08
,,730,No ratings yet,True,1,2015-11-23
,,440,No ratings yet,True,1,2015-09-14
,,209870,3 of 8 people (38%) found this review helpful,True,1,2014-10-13
2 people found this review funny,,322170,1 of 2 people (50%) found this review helpful,True,2,2016-07-23
,,304050,1 of 3 people (33%) found this review helpful,True,2,2016-02-20
,,440,1 of 1 people (100%) found this review helpful,True,2,2015-12-27
,,730,1 of 1 people (100%) found this review helpful,True,2,2015-05-13
,,362890,No ratings yet,True,2,2015-12-27
,,413850,No ratings yet,True,1,2015-12-21
,,730,No ratings yet,True,2,2015-11-15
2 people found this review funny,,346110,2 of 12 people (17%) found this review helpful,True,2,2016-09-09
1 person found this review funny,,570,1 of 2 people (50%) found this review helpful,True,2,2014-06-13
1 person found this review funny,"Last edited March 19, 2015.",311560,6 of 10 people (60%) found this review helpful,True,2,2015-03-13
,,322170,No ratings yet,True,2,2015-01-07
,,48240,4 of 4 people (100%) found this review helpful,False,0,2014-01-02
,,440,1 of 1 people (100%) found this review helpful,True,2,2015-11-18
,,248570,1 of 1 people (100%) found this review helpful,True,1,2014-06-01
,,264140,1 of 1 people (100%) found this review helpful,True,1,2014-03-18
,,4000,1 of 1 people (100%) found this review helpful,True,1,2014-02-16
,,266430,1 of 2 people (50%) found this review helpful,True,2,2015-02-25
,,316010,2 of 5 people (40%) found this review helpful,True,2,2015-08-15
,,249570,1 of 3 people (33%) found this review helpful,True,1,2014-12-25
,,730,1 of 1 people (100%) found this review helpful,True,2,2016-02-22
,,240,No ratings yet,True,1,2014-12-16
,,304930,No ratings yet,True,1,2015-08-14
,,440,No ratings yet,True,1,2014-11-11
,,730,0 of 1 people (0%) found this review helpful,True,1,2016-05-29
,,333930,No ratings yet,True,1,2016-07-03
2 people found this review funny,,365590,7 of 17 people (41%) found this review helpful,True,1,2016-06-20
,,264200,No ratings yet,True,2,2015-03-01
,,440,No ratings yet,True,2,2014-11-27
3 people found this review funny,,298050,16 of 48 people (33%) found this review helpful,False,0,2016-05-17
,,383080,1 of 1 people (100%) found this review helpful,True,2,2015-11-20
,,440,0 of 1 people (0%) found this review helpful,True,2,2016-09-17
,,301520,1 of 2 people (50%) found this review helpful,True,2,2014-08-23
,"Last edited June 17, 2014.",243870,3 of 6 people (50%) found this review helpful,True,2,2014-06-17
,"Last edited July 10, 2014.",218230,1 of 5 people (20%) found this review helpful,False,0,2014-07-10
,,291550,No ratings yet,False,0,2016-08-26
1 person found this review funny,,251570,9 of 12 people (75%) found this review helpful,True,2,2015-06-15
,,221100,1 of 3 people (33%) found this review helpful,True,2,2015-02-14
,,316010,0 of 2 people (0%) found this review helpful,True,2,2015-09-12
,,218230,No ratings yet,True,2,2015-09-12
,,333930,No ratings yet,True,2,2015-07-01
,,222880,No ratings yet,True,1,2015-07-01
,,730,No ratings yet,True,2,2015-06-15
,,55230,1 of 1 people (100%) found this review helpful,True,2,2015-01-15
,,232090,No ratings yet,True,2,2015-04-29
,,4000,No ratings yet,True,1,2015-03-29
,,206420,No ratings yet,True,2,2014-11-23
,,224260,No ratings yet,True,1,2014-02-12
,,550,No ratings yet,True,2,2013-12-26
,,346110,0 of 1 people (0%) found this review helpful,True,2,2015-08-29
,"Last edited October 5, 2015.",380770,0 of 5 people (0%) found this review helpful,False,0,2015-10-05
,,454890,No ratings yet,True,2,2016-06-29
,"Last edited March 4, 2015.",227680,No ratings yet,False,0,2013-06-14
1 person found this review funny,,570,3 of 7 people (43%) found this review helpful,False,0,2016-09-04
,,233250,2 of 5 people (40%) found this review helpful,True,1,2015-11-23
,,273350,1 of 3 people (33%) found this review helpful,True,2,2016-07-16
1 person found this review funny,,730,2 of 2 people (100%) found this review helpful,True,1,2015-05-31
,Last edited July 8.,440,No ratings yet,False,0,2016-06-26
3 people found this review funny,"Last edited November 8, 2015.",730,3 of 4 people (75%) found this review helpful,True,2,2015-05-03
,,570,No ratings yet,True,1,2016-06-14
,,730,No ratings yet,True,2,2015-08-06
,,370480,2 of 2 people (100%) found this review helpful,True,2,2015-10-05
,,313740,1 of 2 people (50%) found this review helpful,True,2,2015-12-17
,,1840,1 of 1 people (100%) found this review helpful,True,2,2014-12-17
,,440,1 of 1 people (100%) found this review helpful,True,2,2014-09-30
,,266210,1 of 2 people (50%) found this review helpful,True,2,2015-03-10
,,369200,1 of 3 people (33%) found this review helpful,True,1,2016-01-16
,,252490,No ratings yet,False,0,2016-03-05
,,264200,No ratings yet,True,2,2015-03-10
6 people found this review funny,,292030,9 of 10 people (90%) found this review helpful,True,2,2016-03-19
4 people found this review funny,,287700,4 of 5 people (80%) found this review helpful,True,1,2015-09-01
1 person found this review funny,,730,2 of 2 people (100%) found this review helpful,False,0,2016-04-19
2 people found this review funny,Last edited April 23.,310950,2 of 3 people (67%) found this review helpful,True,1,2016-04-18
,,377160,No ratings yet,True,1,2015-11-18
,,221380,No ratings yet,True,1,2015-08-08
,,333950,No ratings yet,True,1,2015-07-15
,,222420,No ratings yet,False,0,2015-06-12
,,271590,No ratings yet,True,1,2015-05-19
,"Last edited May 11, 2015.",298110,No ratings yet,True,1,2015-05-11
,,222440,No ratings yet,True,1,2015-05-02
,,259530,No ratings yet,True,1,2016-02-07
,,219640,No ratings yet,False,0,2016-01-30
,,269210,No ratings yet,False,0,2016-01-30
,,317470,No ratings yet,False,0,2014-08-20
,,47410,No ratings yet,True,2,2014-03-18
,,730,No ratings yet,True,1,2016-04-10
,,365450,No ratings yet,True,1,2016-09-15
,,245620,2 of 3 people (67%) found this review helpful,True,2,2015-05-01
5 people found this review funny,,70,14 of 19 people (74%) found this review helpful,True,1,2015-10-28
1 person found this review funny,,359550,3 of 9 people (33%) found this review helpful,False,0,2016-04-15
,,274980,20 of 23 people (87%) found this review helpful,True,2,2014-12-15
,,202090,1 of 2 people (50%) found this review helpful,True,2,2014-12-06
,,339280,1 of 4 people (25%) found this review helpful,True,2,2015-04-11
1 person found this review funny,,314130,1 of 5 people (20%) found this review helpful,False,0,2015-01-31
,,570,No ratings yet,True,1,2015-09-13
1 person found this review funny,,212680,No ratings yet,True,2,2013-07-26
,,200210,No ratings yet,True,2,2013-05-18
,,440,No ratings yet,True,2,2011-10-30
,,440,2 of 3 people (67%) found this review helpful,False,0,2016-08-19
,,4000,0 of 1 people (0%) found this review helpful,True,2,2016-08-19
,,211820,No ratings yet,True,1,2016-08-19
,,10180,No ratings yet,True,1,2016-08-19
,,252490,No ratings yet,True,1,2016-08-19
,,417860,No ratings yet,True,1,2015-12-13
,,251970,5 of 8 people (63%) found this review helpful,True,2,2015-05-18
1 person found this review funny,,359550,1 of 2 people (50%) found this review helpful,True,1,2016-06-22
,,107410,0 of 1 people (0%) found this review helpful,True,2,2016-07-14
,,218230,0 of 5 people (0%) found this review helpful,False,0,2016-06-27
7 people found this review funny,,437701,17 of 89 people (19%) found this review helpful,False,0,2016-03-08
,,304930,No ratings yet,True,1,2014-12-13
,,400,No ratings yet,True,2,2015-07-31
,,620,No ratings yet,True,2,2015-06-29
,,238460,No ratings yet,True,2,2015-06-29
,,6060,No ratings yet,True,2,2015-02-12
,,440,No ratings yet,True,2,2014-03-29
,"Last edited February 4, 2015.",730,2 of 3 people (67%) found this review helpful,True,2,2015-02-04
,"Last edited April 21, 2014.",265610,3 of 3 people (100%) found this review helpful,True,2,2014-04-21
1 person found this review funny,,31280,1 of 1 people (100%) found this review helpful,True,2,2013-02-15
,,4000,1 of 1 people (100%) found this review helpful,True,2,2013-02-15
,,240,No ratings yet,True,2,2013-02-15
,,440,1 of 1 people (100%) found this review helpful,True,2,2016-03-27
,,252490,0 of 1 people (0%) found this review helpful,True,1,2015-08-01
,,8930,2 of 2 people (100%) found this review helpful,True,2,2013-12-27
,,304930,1 of 1 people (100%) found this review helpful,True,2,2014-07-16
,,237310,No ratings yet,True,1,2015-01-13
,,224260,No ratings yet,True,2,2014-01-11
103 people found this review funny,,230410,131 of 188 people (70%) found this review helpful,True,2,2015-09-03
,,440,2 of 2 people (100%) found this review helpful,True,2,2014-01-20
,,440,1 of 1 people (100%) found this review helpful,True,2,2014-05-03
,,219640,2 of 3 people (67%) found this review helpful,False,0,2016-05-01
,Last edited March 31.,570,0 of 1 people (0%) found this review helpful,True,2,2014-08-02
,,8930,1 of 1 people (100%) found this review helpful,True,2,2014-03-17
,,105600,2 of 2 people (100%) found this review helpful,True,1,2015-07-19
,,221100,1 of 3 people (33%) found this review helpful,True,2,2015-05-26
,,107410,No ratings yet,True,2,2015-11-22
,,231430,No ratings yet,True,1,2014-10-18
,,218620,No ratings yet,True,2,2014-12-30
,,225540,2 of 3 people (67%) found this review helpful,True,2,2016-03-07
2 people found this review funny,,570,2 of 3 people (67%) found this review helpful,True,2,2015-01-22
,,333930,No ratings yet,False,0,2015-08-20
,,230410,2 of 6 people (33%) found this review helpful,False,0,2015-05-14
1 person found this review funny,,271590,1 of 2 people (50%) found this review helpful,True,1,2015-04-13
,"Last edited October 1, 2014.",218620,1 of 2 people (50%) found this review helpful,True,2,2014-10-01
1 person found this review funny,"Last edited December 28, 2013.",219740,1 of 2 people (50%) found this review helpful,True,2,2013-12-28
,,7940,1 of 3 people (33%) found this review helpful,True,2,2013-12-28
,,234190,0 of 1 people (0%) found this review helpful,True,1,2014-11-30
,,10180,0 of 2 people (0%) found this review helpful,True,2,2013-12-28
,,33900,0 of 2 people (0%) found this review helpful,True,2,2013-12-28
,,261030,0 of 3 people (0%) found this review helpful,True,2,2015-01-05
,,243470,0 of 3 people (0%) found this review helpful,True,1,2014-12-23
,,302830,0 of 1 people (0%) found this review helpful,False,0,2015-09-01
,,570,No ratings yet,False,0,2014-10-04
,,218620,6 of 8 people (75%) found this review helpful,False,0,2016-01-10
3 people found this review funny,,4700,2 of 2 people (100%) found this review helpful,True,1,2016-09-12
,,212680,1 of 2 people (50%) found this review helpful,True,1,2013-12-08
1 person found this review funny,,304930,1 of 3 people (33%) found this review helpful,False,0,2015-11-06
,,730,No ratings yet,False,0,2016-06-25
,,304050,No ratings yet,True,2,2015-09-23
,,203750,No ratings yet,True,1,2014-05-31
,,227940,2 of 2 people (100%) found this review helpful,False,0,2015-06-24
1 person found this review funny,,355180,0 of 1 people (0%) found this review helpful,False,0,2015-07-22
,Last edited March 20.,730,No ratings yet,True,1,2016-03-20
,,4000,No ratings yet,True,1,2015-06-03
,,236390,0 of 1 people (0%) found this review helpful,True,2,2014-07-26
,,221100,13 of 15 people (87%) found this review helpful,False,0,2016-05-15
,,365590,4 of 4 people (100%) found this review helpful,False,0,2016-05-13
1 person found this review funny,,299740,5 of 6 people (83%) found this review helpful,True,2,2016-07-10
,Last edited September 17.,346110,6 of 8 people (75%) found this review helpful,False,0,2016-09-17
,Last edited August 16.,275850,1 of 1 people (100%) found this review helpful,False,0,2016-08-16
,,400800,1 of 2 people (50%) found this review helpful,False,0,2016-07-31
,Last edited July 29.,252490,No ratings yet,False,0,2016-06-29
,Last edited April 1.,437220,No ratings yet,False,0,2016-03-06
,,730,No ratings yet,True,2,2014-04-23
,,440,No ratings yet,True,1,2016-09-08
,,301520,2 of 2 people (100%) found this review helpful,False,0,2016-09-02
,,433340,No ratings yet,True,2,2016-07-23
,,440,3 of 3 people (100%) found this review helpful,True,1,2014-04-12
,,4000,2 of 2 people (100%) found this review helpful,True,2,2015-04-04
,,302830,No ratings yet,False,0,2015-01-05
,,220200,No ratings yet,True,2,2014-09-14
,,242760,No ratings yet,True,2,2014-09-14
,,352460,1 of 3 people (33%) found this review helpful,True,2,2015-10-12
2 people found this review funny,,322920,3 of 7 people (43%) found this review helpful,True,2,2015-03-22
,,234792,No ratings yet,True,1,2015-12-01
,,252490,No ratings yet,True,2,2014-05-10
16 people found this review funny,"Last edited August 2, 2015.",304050,95 of 173 people (55%) found this review helpful,False,0,2015-08-01
,Last edited June 29.,297130,8 of 10 people (80%) found this review helpful,True,1,2016-06-29
,,397570,6 of 8 people (75%) found this review helpful,True,2,2016-03-25
1 person found this review funny,Last edited July 7.,550,1 of 1 people (100%) found this review helpful,True,2,2014-12-30
,"Last edited December 27, 2014.",206420,1 of 2 people (50%) found this review helpful,True,2,2014-12-27
,Last edited July 7.,278360,No ratings yet,False,0,2016-07-07
1 person found this review funny,,10180,2 of 2 people (100%) found this review helpful,True,2,2013-12-26
34 people found this review funny,,242760,52 of 62 people (84%) found this review helpful,True,2,2016-08-26
,,304930,4 of 5 people (80%) found this review helpful,True,2,2014-07-13
,,441790,5 of 7 people (71%) found this review helpful,True,2,2016-08-26
2 people found this review funny,,265750,7 of 11 people (64%) found this review helpful,True,1,2015-01-28
1 person found this review funny,,252490,2 of 3 people (67%) found this review helpful,True,2,2014-05-08
,,4000,2 of 3 people (67%) found this review helpful,True,2,2013-11-21
,,211820,0 of 1 people (0%) found this review helpful,True,1,2013-12-07
,,105600,0 of 1 people (0%) found this review helpful,True,2,2013-02-09
,,251570,0 of 2 people (0%) found this review helpful,True,2,2016-08-26
,,730,0 of 2 people (0%) found this review helpful,True,2,2014-01-09
,,233110,2 of 2 people (100%) found this review helpful,False,0,2016-07-18
,,322910,3 of 6 people (50%) found this review helpful,False,0,2016-07-16
,,276340,0 of 7 people (0%) found this review helpful,True,2,2014-12-26
,,227940,0 of 1 people (0%) found this review helpful,True,2,2016-05-14
1 person found this review funny,"Last edited March 14, 2015.",304930,No ratings yet,True,1,2015-03-13
2 people found this review funny,,730,2 of 2 people (100%) found this review helpful,True,1,2016-03-30
,,448530,3 of 4 people (75%) found this review helpful,True,2,2016-06-18
1 person found this review funny,,304410,1 of 1 people (100%) found this review helpful,True,2,2016-03-20
,,620,1 of 1 people (100%) found this review helpful,True,2,2016-03-20
,,274920,1 of 1 people (100%) found this review helpful,True,2,2014-12-23
,,211820,0 of 1 people (0%) found this review helpful,True,2,2013-12-26
